Perguntas;Grupo
Esse sinal lembra algum outro existente?;[]
"Você consegue achar alguns sinais semelhantes a este, uns [QTD_SINAIS]?";[QTD_SINAIS]
"Me mostre alguns sinais que se aproximem deste, uns [QTD_SINAIS].";[QTD_SINAIS]
Existe algum sinal parecido com este?;[]
Tem algum outro sinal que seja semelhante a este?;[]
Você consegue me mostrar sinais parecidos com este?;[]
Tem algum sinal que se pareça com este aqui?;[]
"Dentro dos sinais com [CLASSE], tem algum sinal parecido com este?";[CLASSE]
"Entre os sinais com [CLASSE], algum se parece com este que estou vendo?";[CLASSE]
Mostre sinais com [CLASSE] que se aproximem deste.;[CLASSE]
Esse sinal lembra algum com [CLASSE]?;[CLASSE]
Tem algum sinal com [CLASSE] que seja parecido com este?;[CLASSE]
Pode me mostrar [QTD_SINAIS] sinais parecidos com este?;[QTD_SINAIS]
Quais sinais com [CLASSE] mais se parecem com este?;[CLASSE]
Quais seriam os [QTD_SINAIS] sinais mais parecidos com este?;[QTD_SINAIS]
Tem algum outro sinal parecido com esse?;[]
"Estou vendo algo interessante nesse sinal, tem outros assim?";[]
"Entre os sinais que você conhece, quais se parecem com este?";[]
Algum sinal lembra o padrão deste que estou vendo?;[]
Tem algum outro sinal que tenha características parecidas com este?;[]
"Se eu comparar este sinal com outros, quais se aproximam mais?";[]
Quais sinais dariam uma boa comparação com este?;[]
"Entre os sinais que temos, quais seriam mais próximos deste?";[]
"Se eu olhar só sinais de [CLASSE], quais são os mais parecidos?";[CLASSE]
"Comparando com sinais da mesma classe, quais se destacam pela semelhança?";[CLASSE]
Quais sinais você recomendaria ver junto com este?;[]
Existe algum sinal que valha a pena conferir por ser parecido?;[]
Me mostre sinais que poderiam ser bons exemplos junto com este.;[]
Tem algum sinal que seria interessante comparar com este?;[]
"Olhando este sinal, quais outros eu deveria observar por semelhança?";[]
"Esse sinal me chamou atenção, existe algo parecido?";[]
Você conhece algum sinal que seja parecido com este?;[]
"Se eu quiser sinais parecidos com este, quais você me mostraria?";[]
Você conhece algum sinal que valha a pena olhar junto com este?;[]
"Olhando este sinal, quais outros [QTD_SINAIS] se parecem com ele?";[QTD_SINAIS]
Pode me mostrar os [QTD_SINAIS] sinais da classe [CLASSE] mais parecidos com este?;[QTD_SINAIS,CLASSE]
Quais seriam os [QTD_SINAIS] sinais mais próximos a este dentro da classe [CLASSE]?;[QTD_SINAIS,CLASSE]
"Entre os sinais da classe [CLASSE], quais [QTD_SINAIS] você diria que se parecem mais com este?";[QTD_SINAIS,CLASSE]
Me mostre [QTD_SINAIS] exemplos da classe [CLASSE] que sejam semelhantes a este;[QTD_SINAIS,CLASSE]
"Se eu quiser ver [QTD_SINAIS] sinais parecidos, só da classe [CLASSE], quais seriam?";[QTD_SINAIS,CLASSE]
"Dentro da classe [CLASSE], quais [QTD_SINAIS] sinais lembram mais este aqui";[QTD_SINAIS,CLASSE]
Você consegue listar [QTD_SINAIS] sinais da classe [CLASSE] que tenham semelhança com este?;[QTD_SINAIS,CLASSE]
"Considere apenas as features [SUBSET_FEATURES], esse sinal lembra algum outro?";[SUBSET_FEATURES]
"Usando somente [SUBSET_FEATURES], existem sinais parecidos com este?";[SUBSET_FEATURES]
"Se eu considerar apenas [SUBSET_FEATURES], quais sinais se aproximam deste?";[SUBSET_FEATURES]
"Baseado apenas em [SUBSET_FEATURES], você encontra sinais semelhantes a este?";[SUBSET_FEATURES]
"Olhando só [SUBSET_FEATURES], tem algum sinal parecido com este?";[SUBSET_FEATURES]
"Usando apenas [SUBSET_FEATURES], me mostre [QTD_SINAIS] sinais semelhantes a este.";[QTD_SINAIS,SUBSET_FEATURES]
"Quais são os [QTD_SINAIS] sinais mais parecidos com este considerando apenas [SUBSET_FEATURES]?";[QTD_SINAIS,SUBSET_FEATURES]
"Se eu focar em [SUBSET_FEATURES], quais [QTD_SINAIS] sinais mais se aproximam deste?";[QTD_SINAIS,SUBSET_FEATURES]
"Baseado apenas em [SUBSET_FEATURES], liste [QTD_SINAIS] sinais similares.";[QTD_SINAIS,SUBSET_FEATURES]
"Pode retornar [QTD_SINAIS] exemplos usando somente [SUBSET_FEATURES]?";[QTD_SINAIS,SUBSET_FEATURES]
"Dentro dos sinais com [CLASSE], usando apenas [SUBSET_FEATURES], tem algum parecido com este?";[CLASSE,SUBSET_FEATURES]
"Considerando apenas [SUBSET_FEATURES], quais sinais da classe [CLASSE] se aproximam deste?";[CLASSE,SUBSET_FEATURES]
"Entre os sinais com [CLASSE], olhando só [SUBSET_FEATURES], quais são semelhantes?";[CLASSE,SUBSET_FEATURES]
"Baseado em [SUBSET_FEATURES], existe algum sinal da classe [CLASSE] parecido com este?";[CLASSE,SUBSET_FEATURES]
"Usando apenas [SUBSET_FEATURES], você encontra sinais com [CLASSE] similares a este?";[CLASSE,SUBSET_FEATURES]
"Usando apenas [SUBSET_FEATURES], me mostre [QTD_SINAIS] sinais da classe [CLASSE] parecidos com este.";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
"Quais são os [QTD_SINAIS] sinais da classe [CLASSE] mais próximos considerando apenas [SUBSET_FEATURES]?";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
"Se eu focar em [SUBSET_FEATURES], quais [QTD_SINAIS] sinais com [CLASSE] mais se parecem com este?";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
"Baseado apenas em [SUBSET_FEATURES], liste [QTD_SINAIS] sinais da classe [CLASSE] semelhantes.";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
"Pode mostrar [QTD_SINAIS] exemplos da classe [CLASSE] usando somente [SUBSET_FEATURES]?";[QTD_SINAIS,CLASSE,SUBSET_FEATURES]
"Quero comparar esse sinal usando apenas [SUBSET_FEATURES], o que você encontra parecido?";[SUBSET_FEATURES]
"Se eu analisar só [SUBSET_FEATURES], quais sinais mais se aproximam deste?";[SUBSET_FEATURES]
"Considerando exclusivamente [SUBSET_FEATURES], existem bons exemplos similares?";[SUBSET_FEATURES]
"Limitando a análise a [SUBSET_FEATURES], quais sinais são mais próximos?";[SUBSET_FEATURES]
"Usando estritamente [SUBSET_FEATURES], tem algum sinal semelhante a este?";[SUBSET_FEATURES]
"Esse sinal, considerando apenas [SUBSET_FEATURES], se parece com quais outros?";[SUBSET_FEATURES]
"Se eu quiser [QTD_SINAIS] exemplos similares com base em [SUBSET_FEATURES], quais seriam?";[QTD_SINAIS,SUBSET_FEATURES]
